"","rank","club","country","points"
"1",1,"Liverpool FC","England",2042
"2",2,"Manchester City","England",2013
"3",3,"Real Madrid","Spain",2010
"4",4,"Bayern München","Germany",1955
"5",5,"Inter Milan","Italy",1917
"6",6,"AC Milan","Italy",1900
"7",7,"Ajax Amsterdam","Netherlands",1899
"8",8,"Chelsea FC","England",1879
"9",9,"SSC Napoli","Italy",1854
"10",10,"Atlético Madrid","Spain",1852
"11",11,"Barcelona","Spain",1851
"12",12,"Paris Saint-Germain","France",1847
"13",13,"FC Porto","Portugal",1841
"14",14,"Tottenham Hotspur","England",1837
"15",15,"Villarreal","Spain",1826
"16",16,"Palmeiras","Brazil",1825
"17",17,"Benfica","Portugal",1803
"18",18,"Bayer Leverkusen","Germany",1802
"19",19,"Juventus","Italy",1800
"20",20,"Sporting","Portugal",1797
"21",21,"RB Leipzig","Germany",1793
"22",22,"Arsenal","England",1793
"23",23,"Borussia Dortmund","Germany",1791
"24",24,"Sevilla","Spain",1790
"25",25,"River Plate","Argentina",1785
"26",26,"Flamengo","Brazil",1778
"27",27,"Atlético Mineiro","Brazil",1773
"28",28,"FK Red Star Belgrade","Serbia",1767
"29",29,"Roma","Italy",1763
"30",30,"Lazio","Italy",1759
"31",31,"Real Betis","Spain",1759
"32",32,"Red Bull Salzburg","Austria",1755
"33",33,"PSV Eindhoven","Netherlands",1752
"34",34,"Rangers","Scotland",1750
"35",35,"1. FC Union Berlin","Germany",1748
"36",36,"Monaco","France",1742
"37",37,"Al Ahly","Egypt",1730
"38",38,"Atalanta","Italy",1726
"39",39,"Real Sociedad","Spain",1722
"40",40,"Flora Tallinn","Estonia",1722
"41",41,"Slavia Prague","Czech Republic",1721
"42",42,"Manchester United","England",1717
"43",43,"Shakhtar Donetsk","Ukraine",1714
"44",44,"Newcastle United","England",1709
"45",45,"Olympiakos","Greece",1706
"46",46,"Lyon","France",1705
"47",47,"Leicester City","England",1703
"48",48,"Celtic","Scotland",1698
"49",49,"Rennes","France",1697
"50",50,"Feyenoord","Netherlands",1697
"51",51,"Eintracht Frankfurt","Germany",1695
"52",52,"Marseille","France",1694
"53",53,"Athletic Bilbao","Spain",1694
"54",54,"Freiburg","Germany",1688
"55",55,"Dinamo Zagreb","Croatia",1686
"56",56,"West Ham United","England",1686
"57",57,"Crystal Palace","England",1685
"58",58,"Zenit St. Petersburg","Russia",1685
"59",59,"Brighton & Hove Albion","England",1685
"60",60,"Partizan Beograd","Serbia",1685
"61",61,"FC Sheriff","Moldova",1683
"62",62,"Viktoria Plzeň","Czech Republic",1680
"63",63,"Dynamo Kyiv","Ukraine",1669
"64",64,"FCI Levadia Tallinn","Estonia",1669
"65",65,"1. FC Köln","Germany",1668
"66",66,"Celta Vigo","Spain",1668
"67",67,"Al Hilal","Saudi Arabia",1663
"68",68,"São Paulo","Brazil",1663
"69",69,"Braga","Portugal",1662
"70",70,"Kawasaki Frontale","Japan",1660
"71",71,"Borussia Mönchengladbach","Germany",1658
"72",72,"Sassuolo","Italy",1658
"73",73,"Club Brugge","Belgium",1657
"74",74,"Defensa y Justicia","Argentina",1656
"75",75,"Lille","France",1654
"76",76,"Aston Villa","England",1652
"77",77,"The New Saints","Wales",1650
"78",78,"Udinese","Italy",1649
"79",79,"Mainz","Germany",1647
"80",80,"Boca Juniors","Argentina",1645
"81",81,"PFC Ludogorets 1945 Razgrad","Bulgaria",1642
"82",82,"Corinthians","Brazil",1641
